Taxonomy tree with leaf paper metadata:
Leaf rows include paperId, title, year, and stable external ids.
- Chain-of-Thought Prompting
  - Task Types
    - Close Domain Reasoning and QA
      - 90350aa626bed47b02d0c162462e5b0ca82be6b2 | title: Automatic Chain of Thought Prompting in Large Language Models | year: 2022 | ids: ArXiv=2210.03493; DBLP=journals/corr/abs-2210-03493; CorpusId=252762275
      - d48b29889241551e1ee6622fa78c3fa4159255dd | title: Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning | year: 2022 | ids: ArXiv=2205.09712; DOI=10.48550/arXiv.2205.09712; DBLP=journals/corr/abs-2205-09712; CorpusId=248887351
      - 5f19ae1135a9500940978104ec15a5b8751bc7d2 | title: Self-Consistency Improves Chain of Thought Reasoning in Language Models | year: 2022 | ids: ArXiv=2203.11171; DOI=10.48550/arXiv.2203.11171; DBLP=journals/corr/abs-2203-11171; CorpusId=247595263
      - 1358f90705b05cdb20ebe6799b02196205e7e9f0 | title: Automatic Prompt Augmentation and Selection with Chain-of-Thought from Labeled Data | year: 2023 | ids: ArXiv=2302.12822; DOI=10.48550/arXiv.2302.12822; DBLP=conf/emnlp/ShumDZ23; CorpusId=257205763
      - 69619a2a47faee7a29ec596db13172e2a42ff921 | title: Synthetic Prompting: Generating Chain-of-Thought Demonstrations for Large Language Models | year: 2023 | ids: ArXiv=2302.00618; DOI=10.48550/arXiv.2302.00618; DBLP=conf/icml/ShaoGSHDC23; CorpusId=256459681
      - b17cc18e4130505b939f7d527082eb6be2a7fd5b | title: Rationale-Augmented Ensembles in Language Models | year: 2022 | ids: ArXiv=2207.00747; DOI=10.48550/arXiv.2207.00747; DBLP=journals/corr/abs-2207-00747; CorpusId=250264890
      - f02e8f1c9b5ab12ddfb1977570f9f5445a99a973 | title: Large Language Models are reasoners with Self-Verification | year: 2022 | ids: DOI=10.48550/arXiv.2212.09561; DBLP=journals/corr/abs-2212-09561; CorpusId=254854206
      - 49293522fe3818769f5067e360c971bd7a82e0aa | title: Explanation Selection Using Unlabeled Data for In-Context Learning | year: 2023 | ids: DOI=10.48550/arXiv.2302.04813; DBLP=journals/corr/abs-2302-04813; CorpusId=256697139
      - 5988806996e8d12f5d4aa911960d842cf7be0c24 | title: Large Language Models are Versatile Decomposers: Decomposing Evidence and Questions for Table-based Reasoning | year: 2023 | ids: ArXiv=2301.13808; DOI=10.1145/3539618.3591708; DBLP=conf/sigir/YeHYLHL23; CorpusId=256416408
      - e7ad08848d5d7c5c47673ffe0da06af443643bda | title: Large Language Models are Zero-Shot Reasoners | year: 2022 | ids: ArXiv=2205.11916; DBLP=journals/corr/abs-2205-11916; CorpusId=249017743
      - 712f21411526e8450036d7199637808590be3579 | title: Reflection of Thought: Inversely Eliciting Numerical Reasoning in Language Models via Solving Linear Systems | year: 2022 | ids: ArXiv=2210.05075; DOI=10.48550/arXiv.2210.05075; DBLP=journals/corr/abs-2210-05075; CorpusId=252815431
      - 4d17732d90440682b0500f4e209c6cc4fac20e0e | title: Teaching Algorithmic Reasoning via In-context Learning | year: 2022 | ids: ArXiv=2211.09066; DOI=10.48550/arXiv.2211.09066; DBLP=journals/corr/abs-2211-09066; CorpusId=253553151
      - 4610ffb1b016acaa82a2065ffd1a3adbae1ce722 | title: Large Language Models Are Human-Level Prompt Engineers | year: 2022 | ids: ArXiv=2211.01910; DOI=10.48550/arXiv.2211.01910; DBLP=journals/corr/abs-2211-01910; CorpusId=253265328
    - Open Domain Reasoning and QA
      - 90350aa626bed47b02d0c162462e5b0ca82be6b2 | title: Automatic Chain of Thought Prompting in Large Language Models | year: 2022 | ids: ArXiv=2210.03493; DBLP=journals/corr/abs-2210-03493; CorpusId=252762275
      - 1b6e810ce0afd0dd093f789d2b2742d047e316d5 | title: Chain of Thought Prompting Elicits Reasoning in Large Language Models | year: 2022 | ids: ArXiv=2201.11903; DBLP=journals/corr/abs-2201-11903; CorpusId=246411621
      - 5437e8adab596d7294124c0e798708e050e25321 | title: Least-to-Most Prompting Enables Complex Reasoning in Large Language Models | year: 2022 | ids: ArXiv=2205.10625; DOI=10.48550/arXiv.2205.10625; DBLP=conf/iclr/ZhouSHWS0SCBLC23; CorpusId=248986239
      - 3fc3460c4554a28e489a0ea6ef067b79b7d301d9 | title: Active Prompting with Chain-of-Thought for Large Language Models | year: 2023 | ids: ArXiv=2302.12246; DOI=10.48550/arXiv.2302.12246; DBLP=conf/acl/DiaoWLPL024; CorpusId=257102707
      - 0d42221038c05cee8443c5b5af838505ee137dc3 | title: ART: Automatic multi-step reasoning and tool-use for large language models | year: 2023 | ids: ArXiv=2303.09014; DOI=10.48550/arXiv.2303.09014; DBLP=journals/corr/abs-2303-09014; CorpusId=257557449
      - 07955e96cbd778d0ae2a68f09d073b866dd84c2a | title: Decomposed Prompting: A Modular Approach for Solving Complex Tasks | year: 2022 | ids: ArXiv=2210.02406; DOI=10.48550/arXiv.2210.02406; DBLP=journals/corr/abs-2210-02406; CorpusId=252715485
      - c88cafa3e980765a64febe369ceb7c2aa7261d2a | title: Complexity-Based Prompting for Multi-Step Reasoning | year: 2022 | ids: ArXiv=2210.00720; DOI=10.48550/arXiv.2210.00720; DBLP=journals/corr/abs-2210-00720; CorpusId=252683303
      - 490d8006851b1562cfd9ec1f057471f2868289d1 | title: Rethinking with Retrieval: Faithful Large Language Model Inference | year: 2022 | ids: ArXiv=2301.00303; DOI=10.48550/arXiv.2301.00303; DBLP=journals/corr/abs-2301-00303; CorpusId=255372320
      - 3f4d11971f2c64be9125a7fe99c019588bbebf16 | title: Iteratively Prompt Pre-trained Language Models for Chain of Thought | year: 2022 | ids: ArXiv=2203.08383; DOI=10.18653/v1/2022.emnlp-main.174; DBLP=conf/emnlp/Wang0S22; CorpusId=253098851; ACL=2022.emnlp-main.174
      - 760561c57f68044e2f1d089088df1da6c627b09a | title: On the Advance of Making Language Models Better Reasoners | year: 2022 | ids: DOI=10.48550/arXiv.2206.02336; DBLP=journals/corr/abs-2206-02336; CorpusId=249395505
      - 170c97c7215f42edfb20c2248f954879e91ef86e | title: Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models | year: 2023 | ids: ArXiv=2304.09842; DOI=10.48550/arXiv.2304.09842; DBLP=conf/nips/LuPCGCWZG23; CorpusId=258212542
      - 50b0c6ee2b3d53ba5af69d6c00b5d60888a9026f | title: Maieutic Prompting: Logically Consistent Reasoning with Recursive Explanations | year: 2022 | ids: ArXiv=2205.11822; DOI=10.48550/arXiv.2205.11822; DBLP=conf/emnlp/JungQWBB0C22; CorpusId=249017524; ACL=2022.emnlp-main.82
      - e070ff286709db28312e08b52b05539debe88146 | title: Measuring and Narrowing the Compositionality Gap in Language Models | year: 2022 | ids: ArXiv=2210.03350; DOI=10.48550/arXiv.2210.03350; DBLP=conf/emnlp/PressZMSSL23; CorpusId=252762102
      - 5f19ae1135a9500940978104ec15a5b8751bc7d2 | title: Self-Consistency Improves Chain of Thought Reasoning in Language Models | year: 2022 | ids: ArXiv=2203.11171; DOI=10.48550/arXiv.2203.11171; DBLP=journals/corr/abs-2203-11171; CorpusId=247595263
      - 1358f90705b05cdb20ebe6799b02196205e7e9f0 | title: Automatic Prompt Augmentation and Selection with Chain-of-Thought from Labeled Data | year: 2023 | ids: ArXiv=2302.12822; DOI=10.48550/arXiv.2302.12822; DBLP=conf/emnlp/ShumDZ23; CorpusId=257205763
      - f208ea909fa7f54fea82def9a92fd81dfc758c39 | title: Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions | year: 2022 | ids: ArXiv=2212.10509; DOI=10.48550/arXiv.2212.10509; DBLP=journals/corr/abs-2212-10509; CorpusId=254877499; ACL=2023.acl-long.557
      - b17cc18e4130505b939f7d527082eb6be2a7fd5b | title: Rationale-Augmented Ensembles in Language Models | year: 2022 | ids: ArXiv=2207.00747; DOI=10.48550/arXiv.2207.00747; DBLP=journals/corr/abs-2207-00747; CorpusId=250264890
      - deff814eefe597b2fe275bc3dd205ecb1cc09c4e | title: PINTO: Faithful Language Reasoning Using Prompt-Generated Rationales | year: 2022 | ids: ArXiv=2211.01562; DOI=10.48550/arXiv.2211.01562; DBLP=conf/iclr/WangCIC023; CorpusId=253265114
      - f02e8f1c9b5ab12ddfb1977570f9f5445a99a973 | title: Large Language Models are reasoners with Self-Verification | year: 2022 | ids: DOI=10.48550/arXiv.2212.09561; DBLP=journals/corr/abs-2212-09561; CorpusId=254854206
      - 49293522fe3818769f5067e360c971bd7a82e0aa | title: Explanation Selection Using Unlabeled Data for In-Context Learning | year: 2023 | ids: DOI=10.48550/arXiv.2302.04813; DBLP=journals/corr/abs-2302-04813; CorpusId=256697139
      - 7e4f5589327b6b574cc950a03fd1d6236e9e6128 | title: Answering Questions by Meta-Reasoning over Multiple Chains of Thought | year: 2023 | ids: ArXiv=2304.13007; DOI=10.48550/arXiv.2304.13007; DBLP=conf/emnlp/YoranWBKDB23; CorpusId=258309779
      - e7ad08848d5d7c5c47673ffe0da06af443643bda | title: Large Language Models are Zero-Shot Reasoners | year: 2022 | ids: ArXiv=2205.11916; DBLP=journals/corr/abs-2205-11916; CorpusId=249017743
      - 780a7f5e8ba9b4b451e3dfee1bcfb0f68aba5050 | title: Multimodal Chain-of-Thought Reasoning in Language Models | year: 2023 | ids: ArXiv=2302.00923; DOI=10.48550/arXiv.2302.00923; DBLP=journals/corr/abs-2302-00923; CorpusId=256504063
      - 4610ffb1b016acaa82a2065ffd1a3adbae1ce722 | title: Large Language Models Are Human-Level Prompt Engineers | year: 2022 | ids: ArXiv=2211.01910; DOI=10.48550/arXiv.2211.01910; DBLP=journals/corr/abs-2211-01910; CorpusId=253265328
    - Code Generation
      - 47c3b8dd2c8a9326249ac98900b2c3fc71f46ab1 | title: Self-planning Code Generation with Large Language Models | year: 2023 | ids: ArXiv=2303.06689; DOI=10.1145/3672456; DBLP=journals/corr/abs-2303-06689; CorpusId=257495755
      - cc0f0cb09a73f82ed44d900f5ca710bec784acc1 | title: DIN-SQL: Decomposed In-Context Learning of Text-to-SQL with Self-Correction | year: 2023 | ids: ArXiv=2304.11015; DOI=10.48550/arXiv.2304.11015; DBLP=conf/nips/PourrezaR23; CorpusId=258291425
      - 38e1a9c5599fc7597b7c5ffd37951ba5f528094c | title: XRICL: Cross-lingual Retrieval-Augmented In-Context Learning for Cross-lingual Text-to-SQL Semantic Parsing | year: 2022 | ids: ArXiv=2210.13693; DOI=10.48550/arXiv.2210.13693; DBLP=journals/corr/abs-2210-13693; CorpusId=253107357
  - Prompts Design
    - Demonstrations
      - 90350aa626bed47b02d0c162462e5b0ca82be6b2 | title: Automatic Chain of Thought Prompting in Large Language Models | year: 2022 | ids: ArXiv=2210.03493; DBLP=journals/corr/abs-2210-03493; CorpusId=252762275
      - 3fc3460c4554a28e489a0ea6ef067b79b7d301d9 | title: Active Prompting with Chain-of-Thought for Large Language Models | year: 2023 | ids: ArXiv=2302.12246; DOI=10.48550/arXiv.2302.12246; DBLP=conf/acl/DiaoWLPL024; CorpusId=257102707
      - c88cafa3e980765a64febe369ceb7c2aa7261d2a | title: Complexity-Based Prompting for Multi-Step Reasoning | year: 2022 | ids: ArXiv=2210.00720; DOI=10.48550/arXiv.2210.00720; DBLP=journals/corr/abs-2210-00720; CorpusId=252683303
      - 4988b3d378b79eb8669112620baf1ff4e3e536fd | title: Text and Patterns: For Effective Chain of Thought, It Takes Two to Tango | year: 2022 | ids: ArXiv=2209.07686; DOI=10.48550/arXiv.2209.07686; DBLP=journals/corr/abs-2209-07686; CorpusId=252355328
      - e070ff286709db28312e08b52b05539debe88146 | title: Measuring and Narrowing the Compositionality Gap in Language Models | year: 2022 | ids: ArXiv=2210.03350; DOI=10.48550/arXiv.2210.03350; DBLP=conf/emnlp/PressZMSSL23; CorpusId=252762102
      - 1358f90705b05cdb20ebe6799b02196205e7e9f0 | title: Automatic Prompt Augmentation and Selection with Chain-of-Thought from Labeled Data | year: 2023 | ids: ArXiv=2302.12822; DOI=10.48550/arXiv.2302.12822; DBLP=conf/emnlp/ShumDZ23; CorpusId=257205763
      - 69619a2a47faee7a29ec596db13172e2a42ff921 | title: Synthetic Prompting: Generating Chain-of-Thought Demonstrations for Large Language Models | year: 2023 | ids: ArXiv=2302.00618; DOI=10.48550/arXiv.2302.00618; DBLP=conf/icml/ShaoGSHDC23; CorpusId=256459681
      - 49293522fe3818769f5067e360c971bd7a82e0aa | title: Explanation Selection Using Unlabeled Data for In-Context Learning | year: 2023 | ids: DOI=10.48550/arXiv.2302.04813; DBLP=journals/corr/abs-2302-04813; CorpusId=256697139
      - 4d17732d90440682b0500f4e209c6cc4fac20e0e | title: Teaching Algorithmic Reasoning via In-context Learning | year: 2022 | ids: ArXiv=2211.09066; DOI=10.48550/arXiv.2211.09066; DBLP=journals/corr/abs-2211-09066; CorpusId=253553151
    - Textual Instructions
      - 90350aa626bed47b02d0c162462e5b0ca82be6b2 | title: Automatic Chain of Thought Prompting in Large Language Models | year: 2022 | ids: ArXiv=2210.03493; DBLP=journals/corr/abs-2210-03493; CorpusId=252762275
      - e7ad08848d5d7c5c47673ffe0da06af443643bda | title: Large Language Models are Zero-Shot Reasoners | year: 2022 | ids: ArXiv=2205.11916; DBLP=journals/corr/abs-2205-11916; CorpusId=249017743
      - 4610ffb1b016acaa82a2065ffd1a3adbae1ce722 | title: Large Language Models Are Human-Level Prompt Engineers | year: 2022 | ids: ArXiv=2211.01910; DOI=10.48550/arXiv.2211.01910; DBLP=journals/corr/abs-2211-01910; CorpusId=253265328
  - Extension Strategies
    - Ensemble
      - c88cafa3e980765a64febe369ceb7c2aa7261d2a | title: Complexity-Based Prompting for Multi-Step Reasoning | year: 2022 | ids: ArXiv=2210.00720; DOI=10.48550/arXiv.2210.00720; DBLP=journals/corr/abs-2210-00720; CorpusId=252683303
      - 760561c57f68044e2f1d089088df1da6c627b09a | title: On the Advance of Making Language Models Better Reasoners | year: 2022 | ids: DOI=10.48550/arXiv.2206.02336; DBLP=journals/corr/abs-2206-02336; CorpusId=249395505
      - 5f19ae1135a9500940978104ec15a5b8751bc7d2 | title: Self-Consistency Improves Chain of Thought Reasoning in Language Models | year: 2022 | ids: ArXiv=2203.11171; DOI=10.48550/arXiv.2203.11171; DBLP=journals/corr/abs-2203-11171; CorpusId=247595263
      - b17cc18e4130505b939f7d527082eb6be2a7fd5b | title: Rationale-Augmented Ensembles in Language Models | year: 2022 | ids: ArXiv=2207.00747; DOI=10.48550/arXiv.2207.00747; DBLP=journals/corr/abs-2207-00747; CorpusId=250264890
      - f02e8f1c9b5ab12ddfb1977570f9f5445a99a973 | title: Large Language Models are reasoners with Self-Verification | year: 2022 | ids: DOI=10.48550/arXiv.2212.09561; DBLP=journals/corr/abs-2212-09561; CorpusId=254854206
      - 7e4f5589327b6b574cc950a03fd1d6236e9e6128 | title: Answering Questions by Meta-Reasoning over Multiple Chains of Thought | year: 2023 | ids: ArXiv=2304.13007; DOI=10.48550/arXiv.2304.13007; DBLP=conf/emnlp/YoranWBKDB23; CorpusId=258309779
    - Sub-problems Division
      - 5437e8adab596d7294124c0e798708e050e25321 | title: Least-to-Most Prompting Enables Complex Reasoning in Large Language Models | year: 2022 | ids: ArXiv=2205.10625; DOI=10.48550/arXiv.2205.10625; DBLP=conf/iclr/ZhouSHWS0SCBLC23; CorpusId=248986239
      - 07955e96cbd778d0ae2a68f09d073b866dd84c2a | title: Decomposed Prompting: A Modular Approach for Solving Complex Tasks | year: 2022 | ids: ArXiv=2210.02406; DOI=10.48550/arXiv.2210.02406; DBLP=journals/corr/abs-2210-02406; CorpusId=252715485
      - 40047a74b707743157051d38f76061ba5ff9aab4 | title: Compositional Semantic Parsing with Large Language Models | year: 2022 | ids: ArXiv=2209.15003; DBLP=journals/corr/abs-2209-15003; CorpusId=252596001
      - 490d8006851b1562cfd9ec1f057471f2868289d1 | title: Rethinking with Retrieval: Faithful Large Language Model Inference | year: 2022 | ids: ArXiv=2301.00303; DOI=10.48550/arXiv.2301.00303; DBLP=journals/corr/abs-2301-00303; CorpusId=255372320
      - d1120d67b700e4dfe8b39eb1e48fbdea4e1a0c43 | title: HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face | year: 2023 | ids: ArXiv=2303.17580; DOI=10.48550/arXiv.2303.17580; DBLP=journals/corr/abs-2303-17580; CorpusId=257833781
      - d48b29889241551e1ee6622fa78c3fa4159255dd | title: Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning | year: 2022 | ids: ArXiv=2205.09712; DOI=10.48550/arXiv.2205.09712; DBLP=journals/corr/abs-2205-09712; CorpusId=248887351
      - e070ff286709db28312e08b52b05539debe88146 | title: Measuring and Narrowing the Compositionality Gap in Language Models | year: 2022 | ids: ArXiv=2210.03350; DOI=10.48550/arXiv.2210.03350; DBLP=conf/emnlp/PressZMSSL23; CorpusId=252762102
      - 53d128ea815bcc0526856eb5a9c42cc977cb36a7 | title: Toolformer: Language Models Can Teach Themselves to Use Tools | year: 2023 | ids: ArXiv=2302.04761; DOI=10.48550/arXiv.2302.04761; DBLP=journals/corr/abs-2302-04761; CorpusId=256697342
      - 5988806996e8d12f5d4aa911960d842cf7be0c24 | title: Large Language Models are Versatile Decomposers: Decomposing Evidence and Questions for Table-based Reasoning | year: 2023 | ids: ArXiv=2301.13808; DOI=10.1145/3539618.3591708; DBLP=conf/sigir/YeHYLHL23; CorpusId=256416408
    - External Assistance
      - 6c943670dca38bfc7c8b477ae7c2d1fba1ad3691 | title: Program of Thoughts Prompting: Disentangling Computation from Reasoning for Numerical Reasoning Tasks | year: 2022 | ids: ArXiv=2211.12588; DBLP=journals/tmlr/ChenM0C23; CorpusId=253801709
      - 0d42221038c05cee8443c5b5af838505ee137dc3 | title: ART: Automatic multi-step reasoning and tool-use for large language models | year: 2023 | ids: ArXiv=2303.09014; DOI=10.48550/arXiv.2303.09014; DBLP=journals/corr/abs-2303-09014; CorpusId=257557449
      - 07955e96cbd778d0ae2a68f09d073b866dd84c2a | title: Decomposed Prompting: A Modular Approach for Solving Complex Tasks | year: 2022 | ids: ArXiv=2210.02406; DOI=10.48550/arXiv.2210.02406; DBLP=journals/corr/abs-2210-02406; CorpusId=252715485
      - b115c1e1e9e51f8ad7d47b745bc04e29a654b84d | title: Faithful Chain-of-Thought Reasoning | year: 2023 | ids: ArXiv=2301.13379; DOI=10.48550/arXiv.2301.13379; DBLP=journals/corr/abs-2301-13379; CorpusId=256416127; ACL=2023.ijcnlp-main.20
      - d1120d67b700e4dfe8b39eb1e48fbdea4e1a0c43 | title: HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face | year: 2023 | ids: ArXiv=2303.17580; DOI=10.48550/arXiv.2303.17580; DBLP=journals/corr/abs-2303-17580; CorpusId=257833781
      - 3f4d11971f2c64be9125a7fe99c019588bbebf16 | title: Iteratively Prompt Pre-trained Language Models for Chain of Thought | year: 2022 | ids: ArXiv=2203.08383; DOI=10.18653/v1/2022.emnlp-main.174; DBLP=conf/emnlp/Wang0S22; CorpusId=253098851; ACL=2022.emnlp-main.174
      - 170c97c7215f42edfb20c2248f954879e91ef86e | title: Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models | year: 2023 | ids: ArXiv=2304.09842; DOI=10.48550/arXiv.2304.09842; DBLP=conf/nips/LuPCGCWZG23; CorpusId=258212542
      - 6c1e1cc1e0e1f8fd026fe517607b2d4535565fa7 | title: PAL: Program-aided Language Models | year: 2022 | ids: ArXiv=2211.10435; DOI=10.48550/arXiv.2211.10435; DBLP=journals/corr/abs-2211-10435; CorpusId=253708270
      - 69619a2a47faee7a29ec596db13172e2a42ff921 | title: Synthetic Prompting: Generating Chain-of-Thought Demonstrations for Large Language Models | year: 2023 | ids: ArXiv=2302.00618; DOI=10.48550/arXiv.2302.00618; DBLP=conf/icml/ShaoGSHDC23; CorpusId=256459681
      - 53d128ea815bcc0526856eb5a9c42cc977cb36a7 | title: Toolformer: Language Models Can Teach Themselves to Use Tools | year: 2023 | ids: ArXiv=2302.04761; DOI=10.48550/arXiv.2302.04761; DBLP=journals/corr/abs-2302-04761; CorpusId=256697342
      - f208ea909fa7f54fea82def9a92fd81dfc758c39 | title: Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions | year: 2022 | ids: ArXiv=2212.10509; DOI=10.48550/arXiv.2212.10509; DBLP=journals/corr/abs-2212-10509; CorpusId=254877499; ACL=2023.acl-long.557
